Tipo de cambio - TC Sistema bancario SBS (S/ por US$) - Venta,dia,mes,año,fecha,dia de semana,Inflación PERU,Precio Cobre,Precio Oro,Precio Zinc,PIB,Reservas internacionales,Intervenciones del BCRP,Inflación EEUU,Eventos políticos,Tasa Referencial EEUU,Expectativas del mercado,Volatilidad global
3.099,16,3,2015,16/03/2015,1,1,0,1,1,0,1,0,0,1,0,1,1
3.098,17,3,2015,17/03/2015,2,1,1,1,1,0,1,1,1,1,1,0,1
3.1,18,3,2015,18/03/2015,3,1,0,1,1,1,0,0,1,0,0,1,0
3.096,19,3,2015,19/03/2015,4,0,0,0,1,1,1,0,1,0,1,0,1
3.091,20,3,2015,20/03/2015,5,1,1,1,0,1,0,1,0,1,0,0,1
3.08,23,3,2015,23/03/2015,1,1,0,0,0,1,0,0,0,1,1,0,0
3.075,24,3,2015,24/03/2015,2,0,0,0,1,1,0,0,0,0,0,0,0
3.066,25,3,2015,25/03/2015,3,0,0,1,1,1,0,1,1,1,0,0,1
3.077,26,3,2015,26/03/2015,4,0,0,0,0,1,0,1,1,1,0,0,1
3.091,27,3,2015,27/03/2015,5,0,1,0,0,0,0,0,1,0,1,1,1
3.096,30,3,2015,30/03/2015,1,1,1,0,0,0,0,1,0,0,1,1,0
3.097,31,3,2015,31/03/2015,2,1,0,1,1,0,1,0,0,1,0,0,1
3.095,1,4,2015,01/04/2015,3,1,1,1,1,0,0,0,1,1,0,0,0
3.095,2,4,2015,02/04/2015,4,0,0,0,1,1,1,0,1,1,0,0,1
3.095,3,4,2015,03/04/2015,5,0,0,0,1,1,0,0,1,1,0,0,0
3.093,6,4,2015,06/04/2015,1,0,0,0,1,1,1,0,1,1,1,0,1
3.099,7,4,2015,07/04/2015,2,1,1,1,0,0,1,0,0,0,0,0,0
3.104,8,4,2015,08/04/2015,3,1,1,1,1,0,0,0,0,1,1,0,0
3.113,9,4,2015,09/04/2015,4,1,1,0,0,0,1,1,0,1,1,1,1
3.123,10,4,2015,10/04/2015,5,0,1,1,1,0,0,1,0,1,0,1,0
3.125,13,4,2015,13/04/2015,1,0,1,0,0,1,0,0,1,0,1,0,1
3.12,14,4,2015,14/04/2015,2,1,0,1,1,1,0,0,1,0,0,1,1
3.125,15,4,2015,15/04/2015,3,1,1,1,1,0,1,1,0,0,1,0,1
3.125,16,4,2015,16/04/2015,4,1,1,1,1,1,1,0,1,0,0,1,1
3.127,17,4,2015,17/04/2015,5,0,0,1,0,0,0,0,0,0,1,0,0
3.132,20,4,2015,20/04/2015,1,0,0,0,0,0,0,1,0,1,0,0,0
3.132,21,4,2015,21/04/2015,2,0,0,1,1,0,0,0,1,0,1,1,0
3.134,22,4,2015,22/04/2015,3,1,0,0,0,0,0,1,0,0,0,0,0
3.134,23,4,2015,23/04/2015,4,0,1,0,1,1,1,0,1,0,0,1,0
3.136,24,4,2015,24/04/2015,5,0,0,0,0,1,1,0,0,0,0,0,1
3.135,27,4,2015,27/04/2015,1,1,0,0,0,0,1,0,0,1,0,0,1
3.128,28,4,2015,28/04/2015,2,1,1,0,0,1,0,0,0,0,1,1,1
3.122,29,4,2015,29/04/2015,3,0,1,1,1,0,0,1,0,1,0,1,1
3.127,30,4,2015,30/04/2015,4,1,0,1,0,1,0,1,0,0,0,0,0
3.127,1,5,2015,01/05/2015,5,0,1,1,0,0,1,1,1,0,0,0,1
3.138,4,5,2015,04/05/2015,1,0,0,1,1,0,0,1,1,1,1,0,0
3.148,5,5,2015,05/05/2015,2,0,1,1,1,1,1,0,1,1,0,1,1
3.145,6,5,2015,06/05/2015,3,0,0,0,1,0,1,1,0,0,0,1,0
3.153,7,5,2015,07/05/2015,4,1,1,0,1,1,1,0,0,1,1,1,1
3.15,8,5,2015,08/05/2015,5,1,1,1,0,1,1,0,0,1,1,1,1
3.154,11,5,2015,11/05/2015,1,1,0,1,1,1,1,1,0,1,0,0,0
3.153,12,5,2015,12/05/2015,2,1,1,1,1,0,1,0,1,1,0,0,1
3.153,13,5,2015,13/05/2015,3,0,1,1,1,0,0,0,1,0,0,1,1
3.151,14,5,2015,14/05/2015,4,0,0,0,1,0,0,0,0,0,0,1,0
3.148,15,5,2015,15/05/2015,5,0,0,1,1,1,0,1,1,1,1,0,1
3.151,18,5,2015,18/05/2015,1,1,0,0,1,1,1,0,0,1,0,1,0
3.155,19,5,2015,19/05/2015,2,0,0,1,0,0,1,1,0,0,1,0,0
3.158,20,5,2015,20/05/2015,3,1,0,0,1,0,0,1,1,0,0,0,1
3.151,21,5,2015,21/05/2015,4,0,1,1,0,1,0,1,0,1,0,0,1
3.148,22,5,2015,22/05/2015,5,0,0,0,1,1,0,0,0,0,0,1,1
3.151,25,5,2015,25/05/2015,1,0,0,1,0,1,1,0,0,0,1,1,0
3.155,26,5,2015,26/05/2015,2,1,1,0,0,1,0,1,1,0,0,0,1
3.156,27,5,2015,27/05/2015,3,0,1,0,0,1,1,0,1,1,0,1,0
3.158,28,5,2015,28/05/2015,4,1,1,1,1,0,1,0,1,0,0,1,1
3.158,29,5,2015,29/05/2015,5,1,0,1,0,0,1,1,1,1,1,1,1
3.158,1,6,2015,01/06/2015,1,1,1,0,1,0,0,0,0,0,0,0,0
3.157,2,6,2015,02/06/2015,2,1,0,1,1,1,0,1,1,1,1,1,0
3.154,3,6,2015,03/06/2015,3,1,0,1,1,1,0,0,0,1,1,0,0
3.149,4,6,2015,04/06/2015,4,0,1,1,1,1,1,0,0,0,1,0,1
3.153,5,6,2015,05/06/2015,5,0,0,1,1,1,1,0,1,0,0,1,0
3.154,8,6,2015,08/06/2015,1,1,0,1,0,1,0,1,0,1,1,0,1
3.153,9,6,2015,09/06/2015,2,0,0,1,1,1,0,1,0,0,0,1,1
3.154,10,6,2015,10/06/2015,3,1,1,1,1,0,1,0,1,0,0,0,1
3.155,11,6,2015,11/06/2015,4,0,0,1,1,0,0,1,0,1,1,1,0
3.156,12,6,2015,12/06/2015,5,0,1,1,0,1,0,1,0,0,1,0,1
3.158,15,6,2015,15/06/2015,1,0,0,0,0,0,0,0,0,0,0,1,0
3.162,16,6,2015,16/06/2015,2,0,1,0,0,1,0,1,0,1,0,1,1
3.165,17,6,2015,17/06/2015,3,1,0,1,0,0,0,0,0,1,0,0,0
3.163,18,6,2015,18/06/2015,4,0,1,0,0,0,1,1,0,1,1,1,1
3.167,19,6,2015,19/06/2015,5,0,0,0,1,1,1,0,0,0,1,0,1
3.174,22,6,2015,22/06/2015,1,0,1,0,0,1,0,0,0,1,0,1,1
3.18,23,6,2015,23/06/2015,2,1,1,1,1,1,1,1,0,0,0,0,0
3.177,24,6,2015,24/06/2015,3,0,1,1,1,1,0,0,1,1,0,1,1
3.17,25,6,2015,25/06/2015,4,1,1,0,0,1,1,0,0,1,1,0,0
3.173,26,6,2015,26/06/2015,5,0,1,1,0,1,0,0,1,0,0,1,1
3.173,29,6,2015,29/06/2015,1,0,1,1,0,0,1,0,1,1,1,0,0
3.179,30,6,2015,30/06/2015,2,0,0,0,0,1,0,0,1,1,0,0,1
3.179,1,7,2015,01/07/2015,3,0,0,1,0,1,0,0,1,0,1,0,0
3.175,2,7,2015,02/07/2015,4,1,1,0,1,1,0,1,1,0,1,1,1
3.174,3,7,2015,03/07/2015,5,1,0,1,1,0,1,1,0,1,1,1,1
3.178,6,7,2015,06/07/2015,1,1,0,0,1,1,0,1,0,0,1,0,0
3.182,7,7,2015,07/07/2015,2,1,0,0,0,1,1,0,1,1,0,1,1
3.187,8,7,2015,08/07/2015,3,1,0,0,1,0,1,0,0,1,1,1,0
3.182,9,7,2015,09/07/2015,4,1,0,0,1,1,1,0,0,0,1,0,1
3.179,10,7,2015,10/07/2015,5,0,1,1,0,1,1,1,1,0,0,0,1
3.178,13,7,2015,13/07/2015,1,1,1,1,1,0,0,1,1,0,1,1,0
3.179,14,7,2015,14/07/2015,2,1,1,1,1,0,1,1,0,0,1,1,1
3.182,15,7,2015,15/07/2015,3,1,0,0,0,0,0,0,0,1,1,0,0
3.179,16,7,2015,16/07/2015,4,0,0,0,0,0,1,0,1,1,0,1,0
3.182,17,7,2015,17/07/2015,5,0,1,0,1,0,1,1,1,0,0,1,1
3.186,20,7,2015,20/07/2015,1,0,1,0,0,1,0,1,1,1,1,1,0
3.182,21,7,2015,21/07/2015,2,1,1,0,0,1,1,1,0,0,1,1,0
3.187,22,7,2015,22/07/2015,3,1,1,0,0,1,0,1,1,0,0,0,1
3.191,23,7,2015,23/07/2015,4,1,0,0,0,1,0,0,0,1,1,0,1
3.191,24,7,2015,24/07/2015,5,0,0,1,1,1,1,0,1,0,1,1,1
3.191,27,7,2015,27/07/2015,1,0,1,1,1,0,1,1,1,1,0,0,0
3.191,28,7,2015,28/07/2015,2,1,0,0,0,0,0,0,1,0,0,0,1
3.191,29,7,2015,29/07/2015,3,1,1,1,1,1,1,1,1,0,1,0,0
3.193,30,7,2015,30/07/2015,4,0,0,1,0,1,1,0,0,0,1,1,0
3.192,31,7,2015,31/07/2015,5,1,0,1,0,0,1,1,0,0,0,0,0
3.193,3,8,2015,03/08/2015,1,0,1,1,1,1,0,0,1,1,0,1,1
3.194,4,8,2015,04/08/2015,2,1,1,1,1,1,0,1,1,0,0,1,0
3.202,5,8,2015,05/08/2015,3,0,0,1,0,0,0,0,1,1,0,1,0
3.205,6,8,2015,06/08/2015,4,1,1,1,0,0,0,1,1,1,1,0,1
3.203,7,8,2015,07/08/2015,5,1,0,1,0,1,0,1,1,1,0,0,0
3.201,10,8,2015,10/08/2015,1,0,0,1,0,0,1,0,1,1,0,0,0
3.216,11,8,2015,11/08/2015,2,0,0,1,0,1,1,0,0,0,1,0,1
3.229,12,8,2015,12/08/2015,3,0,1,1,0,1,0,0,1,1,0,0,1
3.233,13,8,2015,13/08/2015,4,0,1,1,0,1,1,0,1,1,1,1,1
3.239,14,8,2015,14/08/2015,5,1,0,1,1,0,0,1,1,0,0,1,0
3.245,17,8,2015,17/08/2015,1,1,1,0,0,0,1,1,1,1,0,0,1
3.249,18,8,2015,18/08/2015,2,0,1,1,1,1,1,1,0,0,1,0,1
3.254,19,8,2015,19/08/2015,3,0,1,0,1,1,1,0,0,1,1,1,0
3.265,20,8,2015,20/08/2015,4,0,1,1,0,1,0,1,1,1,0,1,1
3.274,21,8,2015,21/08/2015,5,1,1,1,0,1,0,0,1,1,1,0,1
3.279,24,8,2015,24/08/2015,1,1,0,1,1,0,0,0,1,1,1,1,1
3.281,25,8,2015,25/08/2015,2,0,1,1,1,1,1,0,1,0,0,0,0
3.305,26,8,2015,26/08/2015,3,1,1,0,1,1,0,1,0,1,0,1,1
3.281,27,8,2015,27/08/2015,4,0,1,0,1,0,0,0,1,1,1,1,0
3.255,28,8,2015,28/08/2015,5,0,1,1,0,1,0,0,0,0,0,1,0
3.237,31,8,2015,31/08/2015,1,0,1,0,1,0,1,1,0,0,0,0,0
3.247,1,9,2015,01/09/2015,2,1,0,0,1,0,0,1,0,1,0,1,1
3.255,2,9,2015,02/09/2015,3,0,1,0,1,0,1,0,0,1,0,0,0
3.231,3,9,2015,03/09/2015,4,1,1,1,1,0,0,0,0,0,1,1,1
3.215,4,9,2015,04/09/2015,5,0,0,1,1,0,1,0,0,1,0,1,0
3.227,7,9,2015,07/09/2015,1,0,1,1,1,0,0,0,0,1,0,1,0
3.226,8,9,2015,08/09/2015,2,1,1,1,1,0,1,1,0,0,0,1,1
3.221,9,9,2015,09/09/2015,3,1,0,0,0,0,0,1,1,0,0,1,0
3.221,10,9,2015,10/09/2015,4,0,0,0,1,0,1,1,0,1,1,1,1
3.214,11,9,2015,11/09/2015,5,0,1,0,0,1,1,1,0,0,1,1,0
3.208,14,9,2015,14/09/2015,1,0,0,1,0,0,0,1,1,1,0,0,1
3.21,15,9,2015,15/09/2015,2,0,0,0,1,0,1,0,0,0,0,0,1
3.208,16,9,2015,16/09/2015,3,1,0,1,0,0,0,0,0,1,1,0,1
3.197,17,9,2015,17/09/2015,4,0,0,0,0,1,0,0,0,0,1,0,1
3.195,18,9,2015,18/09/2015,5,0,1,0,0,0,1,0,1,1,0,1,0
3.195,21,9,2015,21/09/2015,1,0,1,1,0,0,0,0,0,0,1,0,1
3.212,22,9,2015,22/09/2015,2,1,1,0,0,1,1,1,1,0,1,1,0
3.224,23,9,2015,23/09/2015,3,1,1,1,1,1,0,0,0,0,1,0,1
3.227,24,9,2015,24/09/2015,4,1,1,1,0,1,0,0,1,0,1,0,0
3.222,25,9,2015,25/09/2015,5,1,0,1,1,0,1,1,0,0,0,0,1
3.234,28,9,2015,28/09/2015,1,0,1,0,1,1,0,0,1,1,1,0,0
3.239,29,9,2015,29/09/2015,2,1,0,1,0,1,0,1,1,1,1,0,1
3.223,30,9,2015,30/09/2015,3,0,0,0,1,1,0,1,1,1,0,1,1
3.231,1,10,2015,01/10/2015,4,1,1,1,0,1,1,1,0,0,1,1,1
3.227,2,10,2015,02/10/2015,5,1,0,1,1,0,0,1,0,1,1,0,0
3.218,5,10,2015,05/10/2015,1,0,0,0,1,0,1,1,1,0,0,0,0
3.223,6,10,2015,06/10/2015,2,1,1,1,0,1,1,0,0,1,0,0,0
3.221,7,10,2015,07/10/2015,3,1,0,1,1,0,0,0,1,0,1,1,1
3.221,8,10,2015,08/10/2015,4,0,1,0,0,1,0,1,1,1,1,0,0
3.221,9,10,2015,09/10/2015,5,0,1,1,0,1,0,0,1,0,0,1,0
3.229,12,10,2015,12/10/2015,1,1,0,1,1,0,1,0,1,1,1,0,1
3.236,13,10,2015,13/10/2015,2,0,0,0,0,0,1,1,1,1,0,0,0
3.242,14,10,2015,14/10/2015,3,0,1,1,1,0,1,1,0,1,0,0,0
3.236,15,10,2015,15/10/2015,4,1,1,1,0,1,0,0,1,0,0,1,0
3.242,16,10,2015,16/10/2015,5,1,0,0,1,1,0,1,0,0,1,1,1
3.253,19,10,2015,19/10/2015,1,1,0,0,0,1,1,0,0,0,0,0,1
3.258,20,10,2015,20/10/2015,2,0,0,1,1,1,1,1,0,1,0,1,0
3.262,21,10,2015,21/10/2015,3,1,0,0,1,0,0,1,0,0,1,1,1
3.257,22,10,2015,22/10/2015,4,0,0,0,0,0,1,0,1,1,1,0,1
3.267,23,10,2015,23/10/2015,5,0,1,1,0,1,0,0,1,1,0,0,0
3.27,26,10,2015,26/10/2015,1,0,0,0,1,0,0,1,0,1,1,1,0
3.28,27,10,2015,27/10/2015,2,0,0,0,0,1,1,1,1,0,1,1,1
3.279,28,10,2015,28/10/2015,3,1,1,0,0,1,1,0,0,1,1,1,0
3.288,29,10,2015,29/10/2015,4,0,0,1,0,1,1,1,1,0,0,0,1
3.287,30,10,2015,30/10/2015,5,1,1,1,1,0,1,1,0,1,0,1,1
3.287,2,11,2015,02/11/2015,1,0,1,0,1,1,0,1,0,1,1,1,1
3.287,3,11,2015,03/11/2015,2,0,1,0,1,1,0,1,0,1,0,0,0
3.29,4,11,2015,04/11/2015,3,1,0,0,0,0,0,0,0,1,1,1,1
3.302,5,11,2015,05/11/2015,4,1,1,0,1,0,0,1,0,0,0,1,1
3.315,6,11,2015,06/11/2015,5,0,1,0,1,0,0,1,0,1,0,1,1
3.31,9,11,2015,09/11/2015,1,0,0,0,0,1,1,0,1,0,0,0,1
3.314,10,11,2015,10/11/2015,2,0,1,1,0,0,1,0,0,1,1,1,1
3.316,11,11,2015,11/11/2015,3,1,1,1,0,0,1,0,0,1,1,1,0
3.323,12,11,2015,12/11/2015,4,1,1,0,0,1,1,1,0,0,0,0,0
3.332,13,11,2015,13/11/2015,5,0,0,0,0,1,0,1,0,1,0,0,0
3.343,16,11,2015,16/11/2015,1,1,1,1,1,1,0,1,1,0,0,0,0
3.346,17,11,2015,17/11/2015,2,0,0,0,0,0,0,1,1,0,0,0,1
3.357,18,11,2015,18/11/2015,3,1,1,1,0,1,1,1,1,1,1,0,0
3.356,19,11,2015,19/11/2015,4,0,0,1,0,0,1,1,1,0,0,1,0
3.36,20,11,2015,20/11/2015,5,0,1,1,0,0,0,0,0,0,0,1,1
3.376,23,11,2015,23/11/2015,1,0,1,1,0,1,1,0,1,0,0,1,1
3.377,24,11,2015,24/11/2015,2,1,0,1,0,0,1,1,1,0,1,1,0
3.385,25,11,2015,25/11/2015,3,0,0,0,0,0,0,1,1,1,1,1,0
3.379,26,11,2015,26/11/2015,4,0,1,1,1,1,0,0,1,0,0,1,0
3.378,27,11,2015,27/11/2015,5,1,1,1,1,0,1,1,0,0,0,1,0
3.376,30,11,2015,30/11/2015,1,1,0,1,0,1,1,0,1,1,1,1,1
3.377,1,12,2015,01/12/2015,2,0,0,0,1,1,1,0,1,1,1,1,0
3.373,2,12,2015,02/12/2015,3,0,0,1,1,1,1,0,1,1,0,1,0
3.369,3,12,2015,03/12/2015,4,1,0,0,0,0,0,0,0,1,0,0,0
3.372,4,12,2015,04/12/2015,5,1,1,0,0,1,0,1,0,1,0,0,0
3.377,7,12,2015,07/12/2015,1,0,0,1,1,1,0,1,0,0,1,0,0
3.377,8,12,2015,08/12/2015,2,0,1,0,0,0,0,1,1,1,1,0,0
3.375,9,12,2015,09/12/2015,3,1,0,0,1,0,1,0,1,0,1,1,0
3.376,10,12,2015,10/12/2015,4,1,0,1,0,1,0,0,0,1,1,0,0
3.379,11,12,2015,11/12/2015,5,0,0,0,1,0,1,0,1,0,0,1,1
3.382,14,12,2015,14/12/2015,1,1,1,1,0,1,1,1,0,1,0,1,0
3.377,15,12,2015,15/12/2015,2,1,1,1,1,1,1,0,1,1,1,1,1
3.372,16,12,2015,16/12/2015,3,0,0,0,1,1,1,1,1,0,1,1,0
3.376,17,12,2015,17/12/2015,4,0,0,1,0,0,1,0,0,0,0,1,0
3.379,18,12,2015,18/12/2015,5,0,1,1,0,1,1,0,1,1,0,0,1
3.383,21,12,2015,21/12/2015,1,1,1,0,1,0,1,0,1,0,1,1,0
3.391,22,12,2015,22/12/2015,2,0,1,0,0,1,1,1,1,0,1,1,0
3.398,23,12,2015,23/12/2015,3,0,1,0,0,0,0,1,0,0,0,1,0
3.398,24,12,2015,24/12/2015,4,1,1,0,1,1,1,0,0,1,1,0,0
3.398,25,12,2015,25/12/2015,5,1,1,0,0,1,0,1,0,0,0,1,1
3.402,28,12,2015,28/12/2015,1,0,0,0,1,0,0,0,1,0,1,0,1
3.408,29,12,2015,29/12/2015,2,0,1,1,1,0,1,1,1,0,1,1,1
3.41,30,12,2015,30/12/2015,3,1,0,0,0,0,1,0,1,1,1,1,1
3.413,31,12,2015,31/12/2015,4,0,1,0,1,0,0,0,0,1,0,1,1
3.413,1,1,2016,01/01/2016,5,0,1,1,1,0,0,0,0,0,0,1,0
3.43,4,1,2016,04/01/2016,1,0,1,1,1,0,1,0,1,1,1,1,0
3.417,5,1,2016,05/01/2016,2,0,1,1,1,1,1,1,0,0,0,1,1
3.417,6,1,2016,06/01/2016,3,0,1,1,1,1,1,1,0,0,1,0,1
3.423,7,1,2016,07/01/2016,4,0,0,1,1,0,0,1,0,0,0,0,0
3.428,8,1,2016,08/01/2016,5,0,0,0,1,1,1,1,1,0,0,1,1
3.428,11,1,2016,11/01/2016,1,1,0,1,0,0,0,1,1,0,1,0,1
3.426,12,1,2016,12/01/2016,2,1,1,0,1,1,1,1,0,1,0,0,0
3.421,13,1,2016,13/01/2016,3,0,1,0,0,0,1,1,0,0,1,0,1
3.425,14,1,2016,14/01/2016,4,1,0,0,1,0,1,0,0,0,0,1,1
3.43,15,1,2016,15/01/2016,5,0,0,1,1,0,1,0,1,1,0,1,0
3.431,18,1,2016,18/01/2016,1,0,1,0,0,0,1,1,0,1,1,0,0
3.433,19,1,2016,19/01/2016,2,0,1,1,1,1,1,0,0,1,1,0,1
3.442,20,1,2016,20/01/2016,3,1,1,0,1,0,1,1,0,0,0,0,0
3.446,21,1,2016,21/01/2016,4,1,1,0,1,1,1,0,1,1,1,0,0
3.447,22,1,2016,22/01/2016,5,0,0,0,1,1,0,1,0,0,1,1,1
3.458,25,1,2016,25/01/2016,1,1,1,1,0,1,0,0,1,0,1,1,0
3.469,26,1,2016,26/01/2016,2,1,0,1,1,1,0,0,1,0,0,1,1
3.466,27,1,2016,27/01/2016,3,1,1,1,1,1,0,1,0,0,1,0,0
3.469,28,1,2016,28/01/2016,4,1,0,1,0,1,1,0,1,1,1,1,0
3.471,29,1,2016,29/01/2016,5,0,1,0,0,1,1,1,1,0,1,1,0
3.485,1,2,2016,01/02/2016,1,1,1,0,0,1,1,0,0,1,0,0,1
3.489,2,2,2016,02/02/2016,2,0,0,1,1,1,0,1,0,0,1,1,1
3.494,3,2,2016,03/02/2016,3,0,0,0,1,1,1,1,0,0,1,0,0
3.478,4,2,2016,04/02/2016,4,0,1,1,0,0,0,1,0,0,1,1,1
3.482,5,2,2016,05/02/2016,5,0,0,1,0,1,1,1,1,0,1,1,1
3.492,8,2,2016,08/02/2016,1,1,1,0,0,1,0,0,0,1,0,0,1
3.5,9,2,2016,09/02/2016,2,0,1,0,0,0,0,0,1,0,1,0,1
3.507,10,2,2016,10/02/2016,3,0,1,1,1,0,0,0,0,0,0,0,0
3.513,11,2,2016,11/02/2016,4,0,0,1,0,0,1,0,1,1,0,1,1
3.509,12,2,2016,12/02/2016,5,0,1,0,1,0,0,1,0,1,1,1,0
3.505,15,2,2016,15/02/2016,1,1,0,0,0,0,0,1,0,0,0,0,1
3.508,16,2,2016,16/02/2016,2,1,0,0,0,1,1,1,1,0,1,0,0
3.506,17,2,2016,17/02/2016,3,0,1,0,0,0,0,0,0,0,0,1,1
3.505,18,2,2016,18/02/2016,4,1,1,0,0,1,1,0,1,1,1,0,0
3.514,19,2,2016,19/02/2016,5,0,1,1,1,0,0,1,1,0,1,0,1
3.521,22,2,2016,22/02/2016,1,0,0,1,1,1,1,0,1,1,1,0,1
3.527,23,2,2016,23/02/2016,2,0,0,0,0,1,0,1,0,0,0,1,1
3.538,24,2,2016,24/02/2016,3,0,0,1,1,1,1,1,1,0,1,1,0
3.533,25,2,2016,25/02/2016,4,0,1,1,1,1,1,0,1,0,0,1,0
3.525,26,2,2016,26/02/2016,5,1,1,1,0,0,0,0,0,0,1,0,1
3.527,29,2,2016,29/02/2016,1,1,0,1,0,1,1,1,0,1,0,0,1
3.522,1,3,2016,01/03/2016,2,1,1,0,0,1,1,0,0,1,0,0,1
3.512,2,3,2016,02/03/2016,3,0,1,0,1,1,1,0,0,1,0,0,1
3.47,3,3,2016,03/03/2016,4,0,1,0,0,1,0,0,0,0,0,1,0
3.446,4,3,2016,04/03/2016,5,0,1,0,0,1,0,0,0,1,1,0,1
3.465,7,3,2016,07/03/2016,1,0,0,0,1,1,1,1,0,1,0,1,1
3.471,8,3,2016,08/03/2016,2,0,1,0,1,0,1,0,1,1,0,0,0
3.441,9,3,2016,09/03/2016,3,1,0,0,1,0,0,0,1,0,1,0,1
3.436,10,3,2016,10/03/2016,4,1,1,1,1,1,0,0,0,1,1,0,1
